gender,age,customer_type,travel_type,travel_class,flight_distance,departure_delay,arrival_delay,time_convenience,online_booking,checkin_service,online_boarding,gate_location,onboard_service,seat_comfort,legroom_service,cleanliness,food_drink,inflight_service,inflight_wifi_service,inflight_entertainment,baggage_handling,satisfaction
Male,48,First-time,Business,Business,821,2,5,3,3,4,3,3,3,5,2,5,5,5,3,5,5,Neutral or Dissatisfied
Female,35,Returning,Business,Business,821,26,39,2,2,3,5,2,5,4,5,5,3,5,2,5,5,Satisfied
Male,41,Returning,Business,Business,853,0,0,4,4,4,5,4,3,5,3,5,5,3,4,3,3,Satisfied
Male,50,Returning,Business,Business,1905,0,0,2,2,3,4,2,5,5,5,4,4,5,2,5,5,Satisfied
Female,49,Returning,Business,Business,3470,0,1,3,3,3,5,3,3,4,4,5,4,3,3,3,3,Satisfied
Male,43,Returning,Business,Business,3788,0,0,4,4,3,5,4,4,4,4,3,3,4,4,4,4,Satisfied
Male,43,Returning,Business,Business,1963,0,0,3,3,4,4,3,5,5,5,4,5,5,3,5,5,Satisfied
Female,60,Returning,Business,Business,853,0,3,3,4,3,4,4,3,4,4,4,4,3,4,3,3,Satisfied
Male,50,Returning,Business,Business,2607,0,0,1,1,3,2,1,4,3,4,3,3,4,4,4,4,Neutral or Dissatisfied
Female,38,Returning,Business,Business,2822,13,0,2,5,3,5,2,5,4,5,4,2,5,2,5,5,Satisfied
Female,28,First-time,Business,Business,821,0,5,1,1,3,1,3,2,2,5,2,2,4,1,2,3,Neutral or Dissatisfied
Female,27,First-time,Business,Business,421,20,21,2,2,1,2,4,2,2,5,1,1,3,1,1,4,Neutral or Dissatisfied
Male,24,First-time,Business,Economy,453,16,30,2,2,2,2,4,2,5,4,5,5,4,2,5,4,Neutral or Dissatisfied
Male,9,Returning,Personal,Business,853,68,76,5,1,5,1,2,4,5,3,5,5,5,1,5,4,Neutral or Dissatisfied
Male,52,Returning,Personal,Economy,853,0,0,4,2,3,2,4,3,2,3,2,2,5,2,2,5,Neutral or Dissatisfied
Male,70,Returning,Personal,Economy,821,0,0,5,2,4,2,1,4,5,2,5,5,5,2,5,4,Neutral or Dissatisfied
Female,48,Returning,Personal,Economy,821,0,0,3,2,5,5,3,5,1,2,2,1,5,2,5,5,Neutral or Dissatisfied
Female,61,Returning,Personal,Economy,821,0,0,5,2,5,1,1,5,5,2,1,4,5,2,5,5,Neutral or Dissatisfied
Female,11,Returning,Personal,Economy,853,0,0,5,3,5,3,2,3,5,2,5,5,5,3,5,4,Neutral or Dissatisfied
Female,42,Returning,Personal,Economy,821,4,0,3,3,3,3,4,1,4,3,3,1,1,3,1,1,Neutral or Dissatisfied
Female,14,Returning,Personal,Economy,853,12,1,1,3,4,3,3,1,4,3,4,4,3,3,4,2,Neutral or Dissatisfied
Female,70,Returning,Personal,Economy,853,0,0,4,1,4,4,2,1,4,1,4,2,1,1,1,1,Neutral or Dissatisfied
Female,56,Returning,Personal,Economy,821,0,0,4,3,4,4,3,5,3,3,4,3,5,4,5,5,Neutral or Dissatisfied
Male,77,Returning,Business,Economy Plus,821,0,0,5,5,1,4,5,4,4,5,4,4,2,4,4,3,Neutral or Dissatisfied
Male,51,Returning,Business,Business,3460,0,2,3,3,5,4,3,5,5,4,4,2,5,3,5,5,Satisfied
Male,47,Returning,Business,Business,1676,0,15,4,5,5,4,4,5,5,5,5,5,5,4,5,4,Satisfied
Male,50,Returning,Business,Business,2168,6,24,3,3,4,4,3,5,5,5,4,2,5,3,5,5,Satisfied
Male,58,Returning,Business,Business,2867,0,0,5,0,4,5,4,3,5,3,5,5,3,0,3,3,Satisfied
Male,40,Returning,Business,Business,3734,0,52,4,4,4,4,4,5,4,5,3,2,5,4,5,5,Satisfied
Male,48,Returning,Business,Business,3088,0,12,4,5,3,4,4,4,4,4,3,3,4,4,4,4,Satisfied
Male,35,First-time,Business,Business,212,0,0,2,2,5,2,1,4,2,5,2,2,4,2,2,5,Neutral or Dissatisfied
Male,21,First-time,Business,Economy,173,0,0,0,4,3,4,4,5,3,5,3,3,4,4,3,4,Satisfied
Female,33,First-time,Business,Business,173,22,28,2,2,5,2,5,3,2,3,2,2,5,2,2,5,Neutral or Dissatisfied
Female,48,Returning,Business,Business,173,0,0,5,0,5,5,4,5,4,5,4,3,5,0,5,5,Satisfied
Male,39,Returning,Business,Business,1672,23,17,2,2,5,4,2,3,5,4,5,5,3,2,3,5,Satisfied
Female,42,Returning,Business,Business,2884,0,0,2,5,3,4,5,5,5,5,4,2,5,5,5,5,Satisfied
Female,54,Returning,Business,Business,212,12,26,4,4,5,5,4,4,4,4,4,5,4,4,4,5,Satisfied
Female,51,Returning,Business,Business,215,0,0,4,4,4,4,4,5,5,4,3,3,5,4,5,5,Satisfied
